Car brand + mode, car price, car mileage
Ford KA, £3,490, 53,000 miles
Peugeot 208, £4,445, 55,589 miles
KIA RIO, £4,195, 32,000 miles
Ford KA, £4,400, 52,075 miles
Suzuki Alto, £2,500, 48,000 miles
KIA Picanto, £3,980, 40,000 miles
Fiat 500, £4,295, 58,144 miles
SKODA Fabia, £4,285, 38,689 miles
Peugeot 107, £3,200, 51,546 miles
Peugeot 208, £4,450, 44,142 miles
Peugeot 107, £3,550, 59,960 miles
KIA RIO, £7,100, 58,957 miles
Citroen C1, £3,795, 47,500 miles
Vauxhall Corsa, £4,500, 52,717 miles
SEAT Ibiza, £3,985, 56,000 miles
Nissan Micra, £3,899, 49,000 miles
Ford KA, £3,790, 57,442 miles
Ford KA, £4,495, 50,000 miles
Ford KA, £2,390, 55,905 miles
Citroen C1, £2,990, 59,781 miles
Fiat Panda, £2,500, 55,000 miles
Fiat 500, £4,495, 44,212 miles
Citroen C1, £3,655, 59,190 miles
Toyota Aygo, £4,895, 45,042 miles
Nissan Micra, £3,995, 59,000 miles
Citroen C1, £3,500, 35,549 miles
Chevrolet Spark, £2,499, 56,000 miles
Nissan Pixo, £2,995, 40,000 miles
Vauxhall Corsa, £3,499, 46,844 miles
Citroen C1, £3,810, 53,000 miles
Citroen C1, £3,295, 51,250 miles
Ford KA, £3,950, 58,000 miles
MG MG3, £4,499, 58,000 miles
Fiat 500, £3,180, 58,948 miles
SKODA Fabia, £4,285, 38,689 miles
KIA RIO, £7,100, 58,957 miles
Peugeot 107, £4,250, 47,000 miles
Nissan Micra, £4,295, 38,450 miles
Vauxhall Corsa, £4,095, 54,000 miles
Nissan Micra, £3,290, 52,500 miles
Fiat 500, £4,495, 57,340 miles
Ford KA, £3,995, 52,662 miles
Chevrolet Spark, £2,495, 46,500 miles
KIA Picanto, £3,990, 47,000 miles
Ford KA, £3,494, 60,000 miles
Fiat 500, £4,500, 41,000 miles
Citroen C1, £3,795, 47,500 miles
Ford KA+, £8,685, 39,500 miles
Ford KA, £4,000, 55,000 miles
Peugeot 107, £3,550, 59,960 miles
Citroen C1, £4,290, 39,000 miles
Ford KA, £3,795, 48,141 miles
Peugeot 208, £4,395, 50,963 miles
Ford KA, £3,995, 59,000 miles
Fiat 500, £4,495, 51,500 miles
Ford KA, £4,490, 50,000 miles
Peugeot 107, £3,495, 57,822 miles
KIA Picanto, £4,500, 51,572 miles
Citroen C1, £3,795, 47,500 miles
Vauxhall Corsa, £10,463, 16,344 miles
Citroen C1, £3,600, 47,000 miles
Toyota Aygo, £4,090, 50,000 miles
Chevrolet Spark, £3,399, 51,904 miles
Ford KA, £3,489, 56,000 miles
Vauxhall Corsa, £3,050, 54,200 miles
Vauxhall Corsa, £3,595, 60,000 miles
Nissan Micra, £4,150, 52,500 miles
Suzuki Alto, £3,980, 27,700 miles
Citroen C1, £3,655, 59,190 miles
Toyota Aygo, £4,295, 50,000 miles
Citroen C1, £3,795, 47,500 miles
Vauxhall Corsa, £10,463, 16,344 miles
Toyota Aygo, £4,095, 55,000 miles
Suzuki Alto, £3,495, 35,000 miles
Hyundai i20, £3,950, 57,400 miles
Ford KA, £3,495, 58,000 miles
Nissan Micra, £3,795, 50,943 miles
Toyota Aygo, £4,500, 49,358 miles
Peugeot 107, £1,895, 48,096 miles
Ford KA, £4,199, 54,992 miles
Fiat 500, £4,357, 58,813 miles
Dacia Sandero, £3,295, 55,956 miles
Peugeot 107, £3,550, 59,960 miles
Toyota Yaris, £9,500, 40,522 miles
Peugeot 208, £4,250, 55,800 miles
Peugeot 107, £4,350, 49,000 miles
Citroen C1, £3,195, 51,000 miles
Suzuki Alto, £3,495, 46,670 miles
Toyota IQ, £3,250, 39,032 miles
Fiat Panda, £4,475, 38,533 miles
Suzuki Alto, £3,700, 53,157 miles
Ford KA, £4,099, 48,572 miles
Ford KA, £3,850, 46,000 miles
Citroen C1, £3,498, 26,618 miles
Peugeot 107, £3,550, 59,960 miles
Toyota Aygo, £4,895, 45,042 miles
Nissan Micra, £3,250, 37,500 miles
Toyota Aygo, £4,195, 50,420 miles
KIA Picanto, £3,999, 60,000 miles
KIA Picanto, £4,250, 40,000 miles
Ford KA, £3,950, 32,800 miles
Volkswagen FOX, £3,487, 58,000 miles
Suzuki Alto, £3,699, 47,000 miles
Citroen C1, £4,149, 35,648 miles
Ford KA, £3,890, 53,709 miles
Ford KA, £3,895, 55,300 miles
Peugeot 107, £3,550, 59,960 miles
Toyota Yaris, £9,500, 40,522 miles
Fiat 500, £3,995, 54,553 miles
Ford KA, £4,000, 59,000 miles
Peugeot 107, £3,900, 50,900 miles
SKODA Fabia, £3,500, 58,000 miles
Citroen C1, £4,450, 52,422 miles
Peugeot 208, £4,495, 60,000 miles
Peugeot 107, £4,450, 44,800 miles
Vauxhall Corsa, £3,395, 59,437 miles
Ford KA, £4,100, 59,900 miles
Chevrolet Spark, £2,995, 37,000 miles
Peugeot 107, £3,550, 59,960 miles
SEAT Ibiza, £8,999, 53,138 miles
Toyota Aygo, £3,495, 60,000 miles
Suzuki Alto, £4,000, 56,000 miles
Nissan Pixo, £3,499, 38,100 miles
Nissan Micra, £4,480, 45,800 miles
Peugeot 107, £4,495, 43,000 miles
Ford KA, £4,450, 54,047 miles
Toyota Aygo, £4,495, 41,932 miles
Dacia Sandero, £4,295, 28,053 miles
Citroen C1, £4,495, 31,700 miles
Chevrolet Spark, £1,995, 50,400 miles
Vauxhall Corsa, £3,499, 46,844 miles
Vauxhall Corsa, £10,250, 14,837 miles
Ford KA, £3,450, 56,000 miles
Peugeot 107, £3,295, 53,392 miles
Volkswagen FOX, £3,850, 52,183 miles
Ford KA, £4,300, 52,000 miles
Nissan Micra, £3,795, 42,000 miles
Ford KA, £3,995, 57,105 miles
Vauxhall Corsa, £3,900, 48,889 miles
Ford KA, £3,895, 58,964 miles
Peugeot 107, £3,990, 51,950 miles
Ford KA, £4,249, 41,947 miles
Peugeot 107, £3,550, 59,960 miles
Toyota Aygo, £4,895, 45,042 miles
Ford KA, £4,495, 51,510 miles
Suzuki Alto, £2,799, 52,000 miles
Suzuki Alto, £3,794, 40,000 miles
Peugeot 107, £3,195, 60,000 miles
Citroen C1, £3,230, 48,000 miles
Toyota Aygo, £3,990, 58,000 miles
Ford KA, £3,995, 50,000 miles
Nissan Micra, £3,499, 60,000 miles
Ford KA, £4,095, 26,162 miles
Vauxhall Corsa, £4,490, 52,278 miles
Vauxhall Corsa, £3,499, 46,844 miles
Vauxhall Corsa, £10,463, 16,344 miles
SKODA Fabia, £4,195, 59,599 miles
Peugeot 107, £3,395, 48,837 miles
Ford KA, £4,395, 48,704 miles
Citroen C1, £3,289, 48,000 miles
Suzuki Alto, £3,302, 58,000 miles
Ford KA, £3,985, 52,703 miles
KIA Picanto, £4,490, 60,000 miles
Fiat 500, £3,995, 50,846 miles
Ford KA, £3,995, 55,450 miles
